site,keyword,country,branded,clicks,impressions,avg_position,ctr
https://www.luckyvibecasino.com,lucky vibe casino,are,True,18,29,2.3,62.07
https://rocketspincasino.com/,rocketspin,can,True,18,1040,9.9,1.73
https://www.spinsup.io/,spins up,che,True,18,46,2.3,39.13
https://spinsupcasino.com/,spin up casino,deu,True,18,375,5.2,4.8
https://roosters.bet,rostbet casino,deu,False,18,78,2.5,23.08
https://roosters.bet,rooster casino,svn,True,18,30,1.6,60.0
https://roosters.bet,rooster bet,qat,True,18,115,5.5,15.65
https://roosters.bet,rooster bet,ind,True,18,91,7.0,19.78
https://roosters.bet,rooster bet casino,svn,True,18,21,1.1,85.71
https://fortuneplay.casino/,fortuneplay casino,phl,True,18,119,9.2,15.13
https://www.playmojocasino.com/,mojo casino,tur,False,18,80,2.5,22.5
https://roostersbet.com,roosterbet,can,True,18,1115,8.7,1.61
https://lucky7evencasino.com,lucky7even casino,deu,True,18,1688,7.7,1.07
https://www.playmojocasino.com/,mojo casino login,irl,True,17,108,3.0,15.74
https://roosters.bet,rooster bet,est,True,17,276,5.0,6.16
https://rollerocasino.com/,rollero casino,nzl,True,17,564,3.3,3.01
https://lucky7evencasino.io/,lucky7even,ind,True,17,84,2.3,20.24
https://roosters.bet,rooster.bet,qat,True,17,19,2.0,89.47
https://roosters.bet,rooster bet login,sau,True,17,21,1.2,80.95
https://www.playmojo.io/,playmogo,mys,True,17,262,2.4,6.49
https://www.luckyvibecasino.com,lucky vibe,nzl,True,17,125,3.6,13.6
https://spinsupcasino.com/,spin up casino,aus,True,17,208,4.8,8.17
https://lucky7evencasino.com,lucky7even,nzl,True,17,839,4.2,2.03
https://roosters.bet,roosterbet,nld,True,17,28,1.5,60.71
